StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
05043P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05044P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05045P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05046P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05047P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05048P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05049P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05050P,66000,4,32060,0.49,0.49,0.48,0.49,0.02,2021-03-24
05051P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05052P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05053P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05054P,61000,2,65170,1.07,1.07,1.06,1.06,-0.13,2021-03-24
05055P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05056P,495000,20,387260,0.77,0.83,0.68,0.82,0.05,2021-03-24
05057P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05058P,451000,13,179630,0.38,0.41,0.38,0.41,0.06,2021-03-24
05059P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05060P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05061P,215000,2,32250,0.15,0.15,0.15,0.15,0.0,2021-03-24
